model,H,condition,story,l2_norm_median,participation_ratio,evr_at_100
pythia,8,ctx1,inamoment,24.343241145840132,1.8297233112793037,0.9832812563177856
pythia,8,ctx1,itsabox,24.10695041687376,1.9365663717537822,0.9597039938871665
pythia,8,ctx1,jugglingandjesus,24.20850059684842,1.6263654444805078,0.9905604213942505
pythia,8,ctx1,kiksuya,24.12555670351615,2.334436899447202,0.947763502417015
pythia,8,ctx1,leavingbaghdad,24.474533138936184,2.2750482956758677,0.9504738451516336
pythia,8,ctx1,legacy,24.38552184604439,1.7977174555849662,0.9630813166763266
pythia,8,ctx1,life,24.128360972050785,1.9735163478697935,0.9521567360139126
pythia,8,ctx1,lifeanddeathontheoregontrail,24.35271273413906,2.1930446470301983,0.9500124281771946
pythia,8,ctx1,lifereimagined,24.36202735044207,2.019050336842511,0.9591940320778377
pythia,8,ctx1,listo,24.22382204923687,2.577821306762143,0.9416939463396264
pythia,8,ctx1,mayorofthefreaks,24.122156834406848,1.9795701325618242,0.9445840510522213
pythia,8,ctx1,metsmagic,24.104458170860326,2.4633696974927246,0.9641251388796359
pythia,8,ctx1,mybackseatviewofagreatromance,24.09035495425146,2.388348030270187,0.9392409320412458
pythia,8,ctx1,myfathershands,24.24515978787664,1.9856822474006515,0.9880354601142584
pythia,8,ctx1,myfirstdaywiththeyankees,24.133889696039013,2.706624294695217,0.937836381074169
pythia,8,ctx1,naked,23.99309960413378,2.1974684800632662,0.9528322667230696
pythia,8,ctx1,notontheusualtour,24.411146921934304,2.0207820421580296,0.9717513479409364
pythia,8,ctx1,odetostepfather,24.18245815573482,2.17107853722548,0.9498152883482028
pythia,8,ctx1,onlyonewaytofindout,24.326798841997906,1.8319287808459104,0.9594354087391992
pythia,8,ctx1,penpal,24.44356603483295,2.569205497212171,0.9554611508661215
pythia,8,ctx1,quietfire,24.04531271011302,2.72978552425951,0.9254299074294658
pythia,8,ctx1,reachingoutbetweenthebars,24.173872685838802,1.8091799673428899,0.9680391963274718
pythia,8,ctx1,shoppinginchina,24.326420698598614,2.0869475048621737,0.9540384314318153
pythia,8,ctx1,singlewomanseekingmanwich,24.05697086072179,1.9954842135701227,0.9609976241258162
pythia,8,ctx1,sloth,24.362459090655655,1.8771483248377336,0.9534506556182105
pythia,8,ctx1,souls,24.29545559637149,2.0966058186922454,0.952686150030311
pythia,8,ctx1,stagefright,24.189808326406663,2.340826640422199,0.9544447203934325
pythia,8,ctx1,stumblinginthedark,24.22810585065571,2.3603936590656427,0.9360923596766348
pythia,8,ctx1,superheroesjustforeachother,24.093360036618908,1.8902507844425833,0.9621064438431188
pythia,8,ctx1,sweetaspie,24.325382702391117,1.615637195531294,0.997457029320392
pythia,8,ctx1,swimmingwithastronauts,24.330704218633283,2.0331964347381186,0.9524148002116745
pythia,8,ctx1,thatthingonmyarm,24.18986360182941,2.2716717352748654,0.941398799060043
pythia,8,ctx1,theadvancedbeginner,24.243073529712813,1.8886067827189534,0.9661528276936423
pythia,8,ctx1,theclosetthatateeverything,24.15168315112282,2.1134207857030636,0.9574540466257901
pythia,8,ctx1,thecurse,24.17547655161824,1.83618512920303,0.9597670916586204
pythia,8,ctx1,thefreedomridersandme,24.18832525954158,2.378796473585325,0.9504192584980437
pythia,8,ctx1,theinterview,24.415322556497244,1.770259500615666,0.9829180044054259
pythia,8,ctx1,thepostmanalwayscalls,24.277518405147653,2.0673216916241364,0.9489677664199881
pythia,8,ctx1,theshower,24.18203549167048,2.3754415384545298,0.9444723856695096
pythia,8,ctx1,thetiniestbouquet,24.29750168268592,1.6568151087184666,0.9910737102884156
