model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
pythia,128,ctx1,thetiniestbouquet,0.9417261074557537,0.38223553347493766
pythia,128,ctx1,thetriangleshirtwaistconnection,0.954513222064369,0.44697628513675514
pythia,128,ctx1,threemonths,0.9476798591015978,0.35093509121388067
pythia,128,ctx1,thumbsup,0.9590870366403444,0.4198787787541183
pythia,128,ctx1,tildeath,0.960799066287857,0.42283054394466174
pythia,128,ctx1,treasureisland,0.9384913150845691,0.33804785372470386
pythia,128,ctx1,undertheinfluence,0.947875009950891,0.33469519685234833
pythia,128,ctx1,vixenandtheussr,0.9472783150729265,0.35702523065799435
pythia,128,ctx1,waitingtogo,0.9452082345559292,0.32335854630646593
pythia,128,ctx1,whenmothersbullyback,0.9461722689088264,0.33217118937455076
pythia,128,ctx1,wildwomenanddancingqueens,0.9479098554318602,0.40958922011203563
rwkv,8,normal,adollshouse,0.9916129934894772,0.2737389828061862
rwkv,8,normal,adventuresinsayingyes,0.9899892831883863,0.2702751635310667
rwkv,8,normal,afatherscover,0.9877274196298155,0.27344176512601864
rwkv,8,normal,againstthewind,0.9883318830869009,0.2753550485536288
rwkv,8,normal,alternateithicatom,0.9904444396181412,0.2936471019329067
rwkv,8,normal,avatar,0.9887553926704045,0.3037080796359162
rwkv,8,normal,backsideofthestorm,0.989726953770774,0.2832788843220049
rwkv,8,normal,becomingindian,0.9906870832127144,0.3088638402719665
rwkv,8,normal,beneaththemushroomcloud,0.9897178105566704,0.31963290827620916
rwkv,8,normal,birthofanation,0.9904496473057107,0.3054783404292427
rwkv,8,normal,bluehope,0.9896394278136835,0.31466303354737263
rwkv,8,normal,breakingupintheageofgoogle,0.9907408596344045,0.28174595485083637
rwkv,8,normal,buck,0.9889205960384844,0.2797485044802422
rwkv,8,normal,catfishingstrangerstofindmyself,0.9881075913494226,0.23976518332058724
rwkv,8,normal,cautioneating,0.9891277939109075,0.33126640668634366
rwkv,8,normal,christmas1940,0.9885442146011598,0.27561978288357747
rwkv,8,normal,cocoonoflove,0.9895025317311185,0.321813222038192
rwkv,8,normal,comingofageondeathrow,0.9899417608739015,0.27696636943905806
rwkv,8,normal,exorcism,0.9907632732052573,0.3311762538567791
rwkv,8,normal,eyespy,0.9904391026655988,0.31836072299220725
