story,H,n_words,n_targets,origin_inclusion_rate,origin_inclusion_expected,form_repetition_rate
sweetaspie,32,697,569,0.056239015817223195,0.04591104734576758,0.2513181019332162
sweetaspie,128,697,569,0.21616871704745166,0.1836441893830703,0.5852372583479789
swimmingwithastronauts,8,2127,1999,0.0025012506253126563,0.0037611659614480487,0.08904452226113056
swimmingwithastronauts,32,2127,1999,0.016508254127063533,0.015044663845792195,0.2541270635317659
swimmingwithastronauts,128,2127,1999,0.064032016008004,0.06017865538316878,0.4942471235617809
thatthingonmyarm,8,2073,1945,0.003084832904884319,0.003859141341051616,0.08637532133676093
thatthingonmyarm,32,2073,1945,0.011825192802056555,0.015436565364206465,0.27403598971722365
thatthingonmyarm,128,2073,1945,0.06375321336760925,0.06174626145682586,0.5208226221079691
theadvancedbeginner,8,1624,1496,0.004679144385026738,0.0049261083743842365,0.07954545454545454
theadvancedbeginner,32,1624,1496,0.017379679144385027,0.019704433497536946,0.25066844919786097
theadvancedbeginner,128,1624,1496,0.0875668449197861,0.07881773399014778,0.5367647058823529
theclosetthatateeverything,8,1928,1800,0.0044444444444444444,0.004149377593360996,0.0961111111111111
theclosetthatateeverything,32,1928,1800,0.01888888888888889,0.016597510373443983,0.27166666666666667
theclosetthatateeverything,128,1928,1800,0.065,0.06639004149377593,0.53
thecurse,8,2054,1926,0.007268951194184839,0.0038948393378773127,0.08099688473520249
thecurse,32,2054,1926,0.016614745586708203,0.01557935735150925,0.2512980269989616
thecurse,128,2054,1926,0.06334371754932502,0.062317429406037,0.5114226375908619
thefreedomridersandme,8,1606,1478,0.007442489851150203,0.0049813200498132005,0.09878213802435724
thefreedomridersandme,32,1606,1478,0.022327469553450607,0.019925280199252802,0.28010825439783493
thefreedomridersandme,128,1606,1478,0.08998646820027063,0.07970112079701121,0.5717185385656293
theinterview,8,1079,951,0.00946372239747634,0.0074142724745134385,0.11461619348054679
theinterview,32,1079,951,0.03259726603575184,0.029657089898053754,0.3333333333333333
theinterview,128,1079,951,0.11356466876971609,0.11862835959221502,0.6035751840168244
thepostmanalwayscalls,8,2220,2092,0.0028680688336520078,0.0036036036036036037,0.1161567877629063
thepostmanalwayscalls,32,2220,2092,0.012906309751434034,0.014414414414414415,0.2982791586998088
thepostmanalwayscalls,128,2220,2092,0.061663479923518165,0.05765765765765766,0.5530592734225621
theshower,8,1383,1255,0.006374501992031873,0.005784526391901663,0.10278884462151394
theshower,32,1383,1255,0.02549800796812749,0.023138105567606652,0.27171314741035857
theshower,128,1383,1255,0.09880478087649402,0.09255242227042661,0.5155378486055777
thetiniestbouquet,8,964,836,0.007177033492822967,0.008298755186721992,0.08732057416267942
thetiniestbouquet,32,964,836,0.041866028708133975,0.03319502074688797,0.2727272727272727
thetiniestbouquet,128,964,836,0.13995215311004786,0.13278008298755187,0.5418660287081339
thetriangleshirtwaistconnection,8,1448,1320,0.005303030303030303,0.0055248618784530384,0.08409090909090909
thetriangleshirtwaistconnection,32,1448,1320,0.024242424242424242,0.022099447513812154,0.2628787878787879
thetriangleshirtwaistconnection,128,1448,1320,0.09166666666666666,0.08839779005524862,0.5106060606060606
threemonths,8,2062,1934,0.004653567735263702,0.0038797284190106693,0.11633919338159256
threemonths,32,2062,1934,0.014477766287487074,0.015518913676042677,0.2942088934850052
threemonths,128,2062,1934,0.0641158221302999,0.06207565470417071,0.5408479834539814
thumbsup,8,3083,2955,0.0027072758037225042,0.0025948751216347712,0.09001692047377327
thumbsup,32,3083,2955,0.007106598984771574,0.010379500486539085,0.2436548223350254
thumbsup,128,3083,2955,0.04297800338409476,0.04151800194615634,0.5079526226734349
tildeath,8,2297,2169,0.002305209774089442,0.0034828036569438396,0.08621484555094514
tildeath,32,2297,2169,0.011526048870447211,0.013931214627775359,0.2512678653757492
tildeath,128,2297,2169,0.0557860765329645,0.055724858511101434,0.5163669893960351
treasureisland,8,1763,1635,0.0061162079510703364,0.0045377197958026095,0.0837920489296636
treasureisland,32,1763,1635,0.019571865443425075,0.018150879183210438,0.24036697247706423
treasureisland,128,1763,1635,0.07706422018348624,0.07260351673284175,0.5204892966360857
undertheinfluence,8,1641,1513,0.005287508261731659,0.004875076173065204,0.07997356245869135
undertheinfluence,32,1641,1513,0.020489094514210177,0.019500304692260818,0.25247851949768674
undertheinfluence,128,1641,1513,0.07072042300066093,0.07800121876904327,0.4646397884996695
vixenandtheussr,8,2074,1946,0.0051387461459403904,0.003857280617164899,0.07708119218910586
vixenandtheussr,32,2074,1946,0.019527235354573486,0.015429122468659595,0.24306269270298048
vixenandtheussr,128,2074,1946,0.06423432682425488,0.06171648987463838,0.48663926002055496
waitingtogo,8,1587,1459,0.0054832076764907475,0.005040957781978576,0.10760795065113091
waitingtogo,32,1587,1459,0.02193283070596299,0.020163831127914304,0.2851267991775189
waitingtogo,128,1587,1459,0.07950651130911583,0.08065532451165722,0.49074708704592185
whenmothersbullyback,8,1488,1360,0.0058823529411764705,0.005376344086021506,0.06102941176470588
whenmothersbullyback,32,1488,1360,0.023529411764705882,0.021505376344086023,0.2036764705882353
whenmothersbullyback,128,1488,1360,0.08970588235294118,0.08602150537634409,0.43014705882352944
wheretheressmoke,8,1839,1711,0.0035067212156633548,0.004350190320826536,0.09877264757451783
wheretheressmoke,32,1839,1711,0.017533606078316773,0.017400761283306143,0.25073056691992984
wheretheressmoke,128,1839,1711,0.08240794856808883,0.06960304513322457,0.5137346580946814
wildwomenanddancingqueens,8,1218,1090,0.007339449541284404,0.006568144499178982,0.07889908256880734
wildwomenanddancingqueens,32,1218,1090,0.02110091743119266,0.026272577996715927,0.2724770642201835
wildwomenanddancingqueens,128,1218,1090,0.1018348623853211,0.10509031198686371,0.5596330275229358
